key	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	function	p_Control	N_Control	p_Jelly	N_Jelly
func_2bedce72c4ac	1.900500081287814	0.1680223547132311	0.5634355037306598	Control,Jelly	-	GH13_19.hmm	0.05405405405405406	37	0.15	40
func_8697bece8913	1.900500081287814	0.1680223547132311	0.5634355037306598	Control,Jelly	-	GH18.hmm	0.05405405405405406	37	0.15	40
func_065b4f670cb6	1.8993335845625894	0.16815293109008078	0.5634355037306598	Jelly	-	GH53.hmm	0	37	0.05	40
func_342bceeffc52	1.8993335845625894	0.16815293109008078	0.5634355037306598	Jelly	-	GH13_29.hmm	0	37	0.05	40
func_41ea8616553f	1.8993335845625894	0.16815293109008078	0.5634355037306598	Jelly	-	GT90.hmm	0	37	0.05	40
func_5f59847a1ca9	1.8993335845625894	0.16815293109008078	0.5634355037306598	Jelly	-	CE2.hmm	0	37	0.05	40
func_623f910cfb2a	1.8993335845625894	0.16815293109008078	0.5634355037306598	Jelly	-	GH89.hmm	0	37	0.05	40
func_bfdb2d748817	1.8993335845625894	0.16815293109008078	0.5634355037306598	Jelly	-	CBM20.hmm	0	37	0.05	40
func_cbc2043a7624	1.8993335845625894	0.16815293109008078	0.5634355037306598	Jelly	-	GH119.hmm	0	37	0.05	40
func_e96e12a4d8f5	1.8993335845625894	0.16815293109008078	0.5634355037306598	Jelly	-	GH43_24.hmm	0	37	0.05	40
func_2175e86010e9	1.806494138705981	0.17892936379702112	0.5634355037306598	Control,Jelly	-	GH3.hmm	0.7567567567567568	37	0.875	40
func_012507266356	1.6857012895402503	0.1941686044941754	0.5634355037306598	Control,Jelly	-	GH25.hmm	0.02702702702702703	37	0.1	40
func_2240ec064083	1.6857012895402503	0.1941686044941754	0.5634355037306598	Control,Jelly	-	GH37.hmm	0.02702702702702703	37	0.1	40
func_7add09d443b1	1.6857012895402503	0.1941686044941754	0.5634355037306598	Control,Jelly	-	CE16.hmm	0.02702702702702703	37	0.1	40
func_87bd0829a8c1	1.6857012895402503	0.1941686044941754	0.5634355037306598	Control,Jelly	-	GH19.hmm	0.02702702702702703	37	0.1	40
func_958e5bc7402d	1.6857012895402503	0.1941686044941754	0.5634355037306598	Control,Jelly	-	GH9.hmm	0.02702702702702703	37	0.1	40
func_bdcbc851ff11	1.6857012895402503	0.1941686044941754	0.5634355037306598	Control,Jelly	-	GH8.hmm	0.02702702702702703	37	0.1	40
func_c1dfaca05338	1.6098849564580233	0.20450797443056049	0.5634355037306598	Control,Jelly	-	CE4.hmm	0.40540540540540543	37	0.55	40
func_be544f28c0dc	1.5035810818234747	0.22012117511842746	0.5634355037306598	Control,Jelly	-	CE9.hmm	0.6486486486486487	37	0.775	40
func_7a23c79f5c18	1.5003201975008775	0.22062210088011294	0.5634355037306598	Control,Jelly	-	GH113.hmm	0.08108108108108109	37	0.175	40
func_1cfd6072c100	1.4765532043453082	0.22431458510491248	0.5634355037306598	Control,Jelly	-	CBM50.hmm	0.6216216216216216	37	0.75	40
func_5bc920f64cbc	1.4567622012721553	0.22744599178904745	0.5634355037306598	Control,Jelly	-	AA7.hmm	0.43243243243243246	37	0.3	40
func_06b51812be2c	1.4146767834559664	0.23428156944708203	0.5634355037306598	Control,Jelly	-	GH23.hmm	0.8378378378378378	37	0.925	40
func_14704c44a692	1.414676783455965	0.23428156944708226	0.5634355037306598	Control,Jelly	-	GH4.hmm	0.16216216216216217	37	0.075	40
func_f16a8662c034	1.269799383779496	0.2598043187356338	0.5634355037306598	Control,Jelly	-	GH1.hmm	0.1891891891891892	37	0.3	40
func_4828e3a3a884	1.2337076168513639	0.2666872047301153	0.5634355037306598	Control,Jelly	-	CE7.hmm	0.10810810810810811	37	0.2	40
func_3431003c4898	1.1706090940183667	0.2792761234410355	0.5634355037306598	Control,Jelly	-	GH92.hmm	0.05405405405405406	37	0.125	40
func_57697dbf4321	1.1706090940183667	0.2792761234410355	0.5634355037306598	Control,Jelly	-	PL6_1.hmm	0.05405405405405406	37	0.125	40
func_969cbc812490	1.1706090940183667	0.2792761234410355	0.5634355037306598	Control,Jelly	PF13632.5	GT2_Glyco_trans_2_3.hmm	0.05405405405405406	37	0.125	40
func_ef9d4d8c5918	1.1706090940183667	0.2792761234410355	0.5634355037306598	Control,Jelly	-	GH13_38.hmm	0.05405405405405406	37	0.125	40
func_7dc14a5d9f1a	1.1396545535774445	0.2857253339116535	0.5634355037306598	Control,Jelly	-	CE11.hmm	0.7837837837837838	37	0.875	40
func_059c18e8666e	1.0953064154639136	0.2952984622359041	0.5634355037306598	Control	-	GH110.hmm	0.02702702702702703	37	0	40
func_14850dde54a3	1.0953064154639136	0.2952984622359041	0.5634355037306598	Control	-	GH43_12.hmm	0.02702702702702703	37	0	40
func_18cf65a55f95	1.0953064154639136	0.2952984622359041	0.5634355037306598	Control	-	CBM47.hmm	0.02702702702702703	37	0	40
func_201845763feb	1.0953064154639136	0.2952984622359041	0.5634355037306598	Control	-	PL33.hmm	0.02702702702702703	37	0	40
func_3b308311b528	1.0953064154639136	0.2952984622359041	0.5634355037306598	Control	-	GH43_1.hmm	0.02702702702702703	37	0	40
func_45b951d7ab1a	1.0953064154639136	0.2952984622359041	0.5634355037306598	Control	-	PL35.hmm	0.02702702702702703	37	0	40
func_531be2e241d0	1.0953064154639136	0.2952984622359041	0.5634355037306598	Control	-	GH13_30.hmm	0.02702702702702703	37	0	40
func_539e44bd6920	1.0953064154639136	0.2952984622359041	0.5634355037306598	Control	-	GT114.hmm	0.02702702702702703	37	0	40
func_7567d80a1814	1.0953064154639136	0.2952984622359041	0.5634355037306598	Control	-	GH13_16.hmm	0.02702702702702703	37	0	40
func_8ae9187fcafb	1.0953064154639136	0.2952984622359041	0.5634355037306598	Control	-	AA5.hmm	0.02702702702702703	37	0	40
func_8fee71148946	1.0953064154639136	0.2952984622359041	0.5634355037306598	Control	-	GH43_11.hmm	0.02702702702702703	37	0	40
func_a588adfc12fd	1.0953064154639136	0.2952984622359041	0.5634355037306598	Control	-	PL26.hmm	0.02702702702702703	37	0	40
func_c412603499c6	1.0953064154639136	0.2952984622359041	0.5634355037306598	Control	-	GH99.hmm	0.02702702702702703	37	0	40
func_caee2a5dc5cf	1.0953064154639136	0.2952984622359041	0.5634355037306598	Control	-	CBM85.hmm	0.02702702702702703	37	0	40
func_d74dc6b79bbc	1.0953064154639136	0.2952984622359041	0.5634355037306598	Control	-	PL15.hmm	0.02702702702702703	37	0	40
func_dcd86c0c44d3	1.0953064154639136	0.2952984622359041	0.5634355037306598	Control	-	GH43.hmm	0.02702702702702703	37	0	40
func_f8feb5b77b2f	1.0953064154639136	0.2952984622359041	0.5634355037306598	Control	-	PL7.hmm	0.02702702702702703	37	0	40
func_5a0ee4e25d8b	1.0653792564225202	0.3019914997848848	0.5634355037306598	Control,Jelly	-	GT41.hmm	0.7567567567567568	37	0.85	40
func_096ed33e45eb	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	PL14.hmm	0	37	0.025	40
func_09cac834bf93	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH13_37.hmm	0	37	0.025	40
func_126e8d5afe73	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	PL25.hmm	0	37	0.025	40
func_1a8cc724d62f	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH128.hmm	0	37	0.025	40
func_20c2606963fe	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GT76.hmm	0	37	0.025	40
func_24d66a30ab3f	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GT22.hmm	0	37	0.025	40
func_2d36e81e66dd	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	PL38.hmm	0	37	0.025	40
func_2e29eb0a9eca	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH133.hmm	0	37	0.025	40
func_45a4c9e28f7e	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH13_1.hmm	0	37	0.025	40
func_4622de009ac5	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	PL17.hmm	0	37	0.025	40
func_4cd03d385e0e	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH16.hmm	0	37	0.025	40
func_4f1bd08f1424	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH5_2.hmm	0	37	0.025	40
func_537ca023583a	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH5_22.hmm	0	37	0.025	40
func_58d0ca345255	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	PF10111.8	GT2_Glyco_tranf_2_2.hmm	0	37	0.025	40
func_5d4c193ffada	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH115.hmm	0	37	0.025	40
func_6178afa712d6	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	CBM12.hmm	0	37	0.025	40
func_61a19f8f0ade	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH13_4.hmm	0	37	0.025	40
func_61d1d515f41f	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	CBM51.hmm	0	37	0.025	40
func_752e5a0987b2	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	PL1_5.hmm	0	37	0.025	40
func_7e6a0fa8aaaf	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH43_2.hmm	0	37	0.025	40
func_7eb203e65cc3	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH130.hmm	0	37	0.025	40
func_8625c759836f	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	PL22_1.hmm	0	37	0.025	40
func_9105650545b4	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH163.hmm	0	37	0.025	40
func_92b3740cab29	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	CE6.hmm	0	37	0.025	40
func_93770876a2ba	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	PL8_2.hmm	0	37	0.025	40
func_9e59891bd46f	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	PL24.hmm	0	37	0.025	40
func_a568c20ec150	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GT113.hmm	0	37	0.025	40
func_a5ac8246a829	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	CBM41.hmm	0	37	0.025	40
func_b8102f131174	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	CBM91.hmm	0	37	0.025	40
func_c208c43e5dea	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	PL1.hmm	0	37	0.025	40
func_c272faca63bc	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	PL40.hmm	0	37	0.025	40
func_c2d31260e78c	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH151.hmm	0	37	0.025	40
func_c56b5b557a8d	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH38.hmm	0	37	0.025	40
func_d29e1a1158b5	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH16_24.hmm	0	37	0.025	40
func_db7b6c6deb6f	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	CBM2.hmm	0	37	0.025	40
func_e2c4ac71a481	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH141.hmm	0	37	0.025	40
func_e320a753ea8b	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH13_7.hmm	0	37	0.025	40
func_e61c5e247dd7	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	PL37.hmm	0	37	0.025	40
func_e8024c4d8362	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH16_21.hmm	0	37	0.025	40
func_e820314b7d49	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH112.hmm	0	37	0.025	40
func_ec0f255b28ea	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH55.hmm	0	37	0.025	40
func_f05ac33d73f6	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	PL6_3.hmm	0	37	0.025	40
func_f25486789e66	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	PL29.hmm	0	37	0.025	40
func_f4e9197d3acc	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	CBM48.hmm	0	37	0.025	40
func_f693339c8878	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	GH154.hmm	0	37	0.025	40
func_fa0a2fc8eada	0.9371712548283703	0.3330063858464357	0.5634355037306598	Jelly	-	PL28.hmm	0	37	0.025	40
func_fe634ee6ff3a	0.9368511042587035	0.3330889749151839	0.5634355037306598	Control,Jelly	-	GH73.hmm	0.6216216216216216	37	0.725	40
func_d8230d13dc9e	0.9032680378359426	0.34190693891069057	0.5634355037306598	Control,Jelly	-	GH17.hmm	0.10810810810810811	37	0.05	40
func_c906320d8eb9	0.9008778261232302	0.34254644272694285	0.5634355037306598	Control,Jelly	-	GH63.hmm	0.16216216216216217	37	0.25	40
func_deff2a5c2dfa	0.8981824553042864	0.34326952958380513	0.5634355037306598	Control,Jelly	-	GT4.hmm	0.972972972972973	37	0.925	40
func_00aacafe0a4e	0.8981824553042855	0.34326952958380536	0.5634355037306598	Control,Jelly	-	CBM40.hmm	0.02702702702702703	37	0.075	40
func_a623a48b980a	0.8981824553042855	0.34326952958380536	0.5634355037306598	Control,Jelly	-	CBM5.hmm	0.02702702702702703	37	0.075	40
func_c7f635479bd0	0.88445952887382	0.3469831526435465	0.5656300707476991	Control,Jelly	-	GT27.hmm	0.08108108108108109	37	0.15	40
