key	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	function	p_Control	N_Control	p_Jelly	N_Jelly
func_89a4a0719b4e	0.006414291068382656	0.9361662571337545	1	Control,Jelly	-	CBM13.hmm	0.05405405405405406	37	0.05	40
func_a650ae9ecdf1	0.006414291068382656	0.9361662571337545	1	Control,Jelly	-	GH114.hmm	0.05405405405405406	37	0.05	40
func_bffcde374911	0.006414291068382656	0.9361662571337545	1	Control,Jelly	-	CBM69.hmm	0.05405405405405406	37	0.05	40
func_cdc6b5c9447f	0.006414291068382656	0.9361662571337545	1	Control,Jelly	-	GH30_1.hmm	0.05405405405405406	37	0.05	40
func_fdf4e068a139	0.006414291068382656	0.9361662571337545	1	Control,Jelly	-	PL12_3.hmm	0.05405405405405406	37	0.05	40
func_11e0c4ef82aa	0.0047211459033639595	0.9452199843265647	1	Control,Jelly	-	GH16_3.hmm	0.24324324324324328	37	0.25	40
func_0b0861d3d1c9	0.0031216268067355652	0.955444158700827	1	Control,Jelly	-	PL31.hmm	0.02702702702702703	37	0.025	40
func_38f459d1c692	0.0031216268067355652	0.955444158700827	1	Control,Jelly	-	GH129.hmm	0.02702702702702703	37	0.025	40
func_5d41a2ade352	0.0031216268067355652	0.955444158700827	1	Control,Jelly	-	GT29.hmm	0.02702702702702703	37	0.025	40
func_6164ffd91da6	0.0031216268067355652	0.955444158700827	1	Control,Jelly	-	GT100.hmm	0.02702702702702703	37	0.025	40
func_61f15949763f	0.0031216268067355652	0.955444158700827	1	Control,Jelly	-	CE8.hmm	0.02702702702702703	37	0.025	40
func_7b451245fdd7	0.0031216268067355652	0.955444158700827	1	Control,Jelly	-	CBM4.hmm	0.02702702702702703	37	0.025	40
func_898f3a435b80	0.0031216268067355652	0.955444158700827	1	Control,Jelly	-	PL6.hmm	0.02702702702702703	37	0.025	40
func_9099c55685bb	0.0031216268067355652	0.955444158700827	1	Control,Jelly	-	GT10.hmm	0.02702702702702703	37	0.025	40
func_9310414b84aa	0.0031216268067355652	0.955444158700827	1	Control,Jelly	-	GH5_43.hmm	0.02702702702702703	37	0.025	40
func_b3140711695b	0.0031216268067355652	0.955444158700827	1	Control,Jelly	-	GH51.hmm	0.02702702702702703	37	0.025	40
func_c52390c3fd49	0.0031216268067355652	0.955444158700827	1	Control,Jelly	-	GH136.hmm	0.02702702702702703	37	0.025	40
func_d26129220682	0.0031216268067355652	0.955444158700827	1	Control,Jelly	-	GT66.hmm	0.02702702702702703	37	0.025	40
func_d3a1dfb3ac74	0.0031216268067355652	0.955444158700827	1	Control,Jelly	-	PL1_2.hmm	0.02702702702702703	37	0.025	40
func_eb3701985f0c	0.0031216268067355652	0.955444158700827	1	Control,Jelly	-	GH39.hmm	0.02702702702702703	37	0.025	40
func_ffb97ebd0a7e	0.0031216268067355652	0.955444158700827	1	Control,Jelly	-	PL8_3.hmm	0.02702702702702703	37	0.025	40
func_e325343333b2	1.5415415416626449e-4	0.9900938130471804	1	Control,Jelly	-	CE14.hmm	0.35135135135135137	37	0.35	40
func_ab3d26f430f3	4.002079003286903e-5	0.9949524573939104	1	Control,Jelly	PF13641.5	GT2_Glyco_tranf_2_3.hmm	0.32432432432432434	37	0.325	40
func_0d2cedc75c68	0	1	1	NA	-	GT21.hmm	0	37	0	40
func_14633aace9c4	0	1	1	NA	-	PL6_2.hmm	0	37	0	40
func_2390eb660035	0	1	1	NA	-	PL42.hmm	0	37	0	40
func_262c310a3a2e	0	1	1	NA	-	GH142.hmm	0	37	0	40
func_2f6a6426714e	0	1	1	NA	-	GH5_4.hmm	0	37	0	40
func_3b233c4b00ff	0	1	1	NA	-	PL11_1.hmm	0	37	0	40
func_3bab125588e7	0	1	1	NA	-	GH123.hmm	0	37	0	40
func_6291bdc7acb7	0	1	1	NA	-	GH143.hmm	0	37	0	40
func_62f75ff95cdb	0	1	1	NA	-	GT60.hmm	0	37	0	40
func_8029c2563a18	0	1	1	NA	-	CBM88.hmm	0	37	0	40
func_80efece84a58	0	1	1	NA	-	PL5.hmm	0	37	0	40
func_83f92ecf9375	0	1	1	NA	-	CE13.hmm	0	37	0	40
func_92ff1c13d501	0	1	1	NA	-	CBM21.hmm	0	37	0	40
func_9ebebef795b8	0	1	1	NA	-	GH5_28.hmm	0	37	0	40
func_b3c5cd98dfdc	0	1	1	NA	-	GH5_46.hmm	0	37	0	40
func_ebc902ef4725	0	1	1	NA	-	GT92.hmm	0	37	0	40
func_f4406be64b84	0	1	1	NA	-	GH100.hmm	0	37	0	40
