file	percent	reads	taxon_id	taxon_name
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.040431	15360	72273	Bacteria;Pseudomonadota;Gammaproteobacteria;Thiotrichales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.036870	14007	186802	Bacteria;Bacillota;Clostridia;Eubacteriales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.034079	12947	1936988	Bacteria;Bacteroidota;Saprospiria;Saprospirales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.024898	9459	135614	Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.024109	9159	2800059	Bacteria;Pseudomonadota;Alphaproteobacteria;Maricaulales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.022632	8598	200666	Bacteria;Bacteroidota;Sphingobacteriia;Sphingobacteriales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.020002	7599	171549	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.019526	7418	213849	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.018981	7211	213481	Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.018573	7056	186826	Bacteria;Bacillota;Bacilli;Lactobacillales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.018520	7036	204458	Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.017191	6531	112	Bacteria;Planctomycetota;Planctomycetia;Planctomycetales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.016988	6454	2887326	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.015949	6059	135618	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.015846	6020	1853229	Bacteria;Bacteroidota;Chitinophagia;Chitinophagales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.015164	5761	2800060	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomonadales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.014885	5655	1921782	Bacteria;Kiritimatiellota;Kiritimatiellia;Kiritimatiellales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.014725	5594	118969	Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.013861	5266	255473	Bacteria;Pseudomonadota;Alphaproteobacteria;Parvularculales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.013603	5168	2024979	Bacteria;Bdellovibrionota;Bacteriovoracia;Bacteriovoracales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.013322	5061	206351	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.012869	4889	2691354	Bacteria;Planctomycetota;Planctomycetia;Pirellulales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.012735	4838	89954	Eukaryota;NA;Dinophyceae;Suessiales;NA;NA;NA;
