Experiment	Treatment	Bottle	Time(hours)	Enzyme	Measurement	stdev
B	J	SJ1	120	BGAL	0,467574086	0,069876589
B	J	SJ2	120	BGAL	0,955143117	0,382247415
B	J	SJ3	120	BGAL	1,87337249	0,207998382
B	C	SC1	144	BGAL	5,377987063	0,201231879
B	C	SC2	144	BGAL	2,734262783	0,292818931
B	C	SC3	144	BGAL	2,349474146	0,620150192
B	J	SJ1	144	BGAL	1,140785135	0,223735766
B	J	SJ2	144	BGAL	1,299227514	0,451937396
B	J	SJ3	144	BGAL	2,484376515	0,374921241
A	C	C1	0	AGAL	0	0
A	C	C2	0	AGAL	0	0
A	C	C3	0	AGAL	0	0
A	J	J1	0	AGAL	0	0
A	J	J2	0	AGAL	0	0
A	J	J3	0	AGAL	0	0
A	C	C1	9	AGAL	0	0
A	C	C2	9	AGAL	0	0
A	C	C3	9	AGAL	0	0
A	J	J1	9	AGAL	1,103388873	0,287302274
A	J	J2	9	AGAL	2,289141395	0,666407544
A	J	J3	9	AGAL	3,163900141	1,926610384
A	C	C1	24	AGAL	0	0
A	C	C2	24	AGAL	0	0
A	C	C3	24	AGAL	0	0
A	J	J1	24	AGAL	1,290038132	0,26870852
A	J	J2	24	AGAL	1,920056755	0,620125848
A	J	J3	24	AGAL	2,09006178	0,626862476
A	C	C1	43	AGAL	0	0
A	C	C2	43	AGAL	0	0
A	C	C3	43	AGAL	0	0
A	J	J1	43	AGAL	0,979285161	0,394976715
A	J	J2	43	AGAL	3,471689633	1,392469526
A	J	J3	43	AGAL	2,170689852	0,364224324
A	C	C1	67	AGAL	1,370704563	0,542771315
A	C	C2	67	AGAL	1,767154499	0,876784433
A	C	C3	67	AGAL	7,346976459	0,855071716
A	J	J1	67	AGAL	1,195676134	0,159506773
A	J	J2	67	AGAL	4,460483527	1,583020001
A	J	J3	67	AGAL	1,913081815	1,09854735
B	C	SC1	0	AGAL	2,69847961	0,396587738
B	C	SC2	0	AGAL	2,598655186	1,461824218
B	C	SC3	0	AGAL	10,67960337	1,373401257
B	J	SJ1	0	AGAL	9,892278476	2,841676984
B	J	SJ2	0	AGAL	4,785132101	0,921411081
B	J	SJ3	0	AGAL	4,765811245	0,478881889
B	C	SC1	24	AGAL	1,414472996	0,298905398
B	C	SC2	24	AGAL	0,447103533	0,011496361
B	C	SC3	24	AGAL	1,631250466	0,309477837
B	J	SJ1	24	AGAL	1,853447374	0,298905398
B	J	SJ2	24	AGAL	4,918138865	1,804928749
B	J	SJ3	24	AGAL	3,841025808	1,309870691
B	C	SC1	72	AGAL	7,22737156	1,683681897
B	C	SC2	72	AGAL	5,288792299	0,47955314
B	C	SC3	72	AGAL	6,690757351	0,43196589
B	J	SJ1	72	AGAL	5,820572146	0,191430978
B	J	SJ2	72	AGAL	3,474295002	1,069228624
B	J	SJ3	72	AGAL	4,418607094	0,721902652
B	C	SC1	96	AGAL	2,912914925	0,356885139
B	C	SC2	96	AGAL	1,306398209	0,176540298
B	C	SC3	96	AGAL	1,571208656	
B	J	SJ1	96	AGAL	1,765402985	
B	J	SJ2	96	AGAL	0,635545074	0,024966568
B	J	SJ3	96	AGAL	1,765402985	0,574231074
B	C	SC1	120	AGAL	3,165353518	0,238515349
B	C	SC2	120	AGAL	1,255067284	0,156611751
B	C	SC3	120	AGAL	2,759302338	1,631372403
B	J	SJ1	120	AGAL	0,830559232	
B	J	SJ2	120	AGAL	1,371960806	0,233706078
B	J	SJ3	120	AGAL	2,977708655	0,608330581
B	C	SC1	144	AGAL	6,070606609	0,725420037
B	C	SC2	144	AGAL	3,693970912	1,599638817
B	C	SC3	144	AGAL	3,147118355	1,001701235
B	J	SJ1	144	AGAL	2,263462569	0,883759677
B	J	SJ2	144	AGAL	4,28548913	0,508737235
B	J	SJ3	144	AGAL	4,925294549	1,535315186
A	C	C1	0	OLE	55,9784251	2,003151958
A	C	C2	0	OLE	46,28893831	2,979554766
A	C	C3	0	OLE	51,88375893	3,714169812
A	J	J1	0	OLE	49,7991918	2,553592064
A	J	J2	0	OLE	44,90318413	3,135197224
A	J	J3	0	OLE	48,46254339	2,804514247
A	C	C1	9	OLE	65,98620696	4,481510387
A	C	C2	9	OLE	59,06042475	3,429470238
A	C	C3	9	OLE	65,52794174	1,91853068
A	J	J1	9	OLE	54,91611318	4,292518331
A	J	J2	9	OLE	55,37537463	2,772327568
A	J	J3	9	OLE	61,54701169	4,041178285
