key	function	accession	associated_groups	p_Control	N_Control	p_Jelly	N_Jelly
func_5bc920f64cbc	AA7.hmm	-	Control,Jelly	0.43243243243243246	37	0.3	40
func_5d41a2ade352	GT29.hmm	-	Control,Jelly	0.02702702702702703	37	0.025	40
func_5d4c193ffada	GH115.hmm	-	Jelly	0	37	0.025	40
func_5e2d25e10847	GT87.hmm	-	Jelly	0	37	0.075	40
func_5f59847a1ca9	CE2.hmm	-	Jelly	0	37	0.05	40
func_60a808cd6f47	CBM32.hmm	-	Jelly	0	37	0.075	40
func_6164ffd91da6	GT100.hmm	-	Control,Jelly	0.02702702702702703	37	0.025	40
func_6178afa712d6	CBM12.hmm	-	Jelly	0	37	0.025	40
func_61a19f8f0ade	GH13_4.hmm	-	Jelly	0	37	0.025	40
func_61d1d515f41f	CBM51.hmm	-	Jelly	0	37	0.025	40
func_61f15949763f	CE8.hmm	-	Control,Jelly	0.02702702702702703	37	0.025	40
func_623f910cfb2a	GH89.hmm	-	Jelly	0	37	0.05	40
func_6291bdc7acb7	GH143.hmm	-		0	37	0	40
func_62f3a6748d5a	AA3.hmm	-	Control,Jelly	0.32432432432432434	37	0.4	40
func_62f75ff95cdb	GT60.hmm	-		0	37	0	40
func_63f425e58587	GH13_11.hmm	-	Control,Jelly	0.05405405405405406	37	0.275	40
func_678e66978163	CBM73.hmm	-	Control,Jelly	0.02702702702702703	37	0.05	40
func_68f20656f66d	GT8.hmm	-	Control	0.05405405405405406	37	0	40
func_71133caa4e2a	GH108.hmm	-	Control,Jelly	0.05405405405405406	37	0.175	40
func_7299170df15f	GH13_2.hmm	-	Control,Jelly	0.05405405405405406	37	0.05	40
func_752e5a0987b2	PL1_5.hmm	-	Jelly	0	37	0.025	40
func_7567d80a1814	GH13_16.hmm	-	Control	0.02702702702702703	37	0	40
func_759d871d6104	GH13_18.hmm	-	Control,Jelly	0.32432432432432434	37	0.275	40
func_76454885ea20	CE1.hmm	-	Control,Jelly	0.6756756756756757	37	0.875	40
func_7763193cb4b2	AA2.hmm	-	Control,Jelly	0.7567567567567568	37	0.475	40
func_797d1275e4ea	GT94.hmm	-	Control,Jelly	0.05405405405405406	37	0.1	40
func_798c006ad302	GT2_Glycos_transf_2.hmm	PF00535.25	Control,Jelly	0.7567567567567568	37	0.9	40
func_7a23c79f5c18	GH113.hmm	-	Control,Jelly	0.08108108108108109	37	0.175	40
func_7add09d443b1	CE16.hmm	-	Control,Jelly	0.02702702702702703	37	0.1	40
func_7b451245fdd7	CBM4.hmm	-	Control,Jelly	0.02702702702702703	37	0.025	40
func_7b4da86f1d21	GH105.hmm	-	Control,Jelly	0.05405405405405406	37	0.05	40
func_7dc14a5d9f1a	CE11.hmm	-	Control,Jelly	0.7837837837837838	37	0.875	40
func_7e0b405aef27	GH158.hmm	-	Control,Jelly	0.13513513513513514	37	0.025	40
func_7e6a0fa8aaaf	GH43_2.hmm	-	Jelly	0	37	0.025	40
func_7e83eb432b67	GH13_14.hmm	-	Control,Jelly	0.02702702702702703	37	0.05	40
func_7eb203e65cc3	GH130.hmm	-	Jelly	0	37	0.025	40
func_7ecabcbfa072	GT2_Glyco_tranf_2_4.hmm	PF13704.5	Control,Jelly	0.16216216216216217	37	0.2	40
func_7ff5a38499a1	GH13.hmm	-	Control,Jelly	0.1891891891891892	37	0.225	40
func_8029c2563a18	CBM88.hmm	-		0	37	0	40
func_80efece84a58	PL5.hmm	-		0	37	0	40
func_81927110975d	GT56.hmm	-	Control,Jelly	0.05405405405405406	37	0.025	40
func_83f92ecf9375	CE13.hmm	-		0	37	0	40
func_85ec396d9814	GT9.hmm	-	Control,Jelly	0.5135135135135135	37	0.5	40
func_8625c759836f	PL22_1.hmm	-	Jelly	0	37	0.025	40
func_8697bece8913	GH18.hmm	-	Control,Jelly	0.05405405405405406	37	0.15	40
func_87bd0829a8c1	GH19.hmm	-	Control,Jelly	0.02702702702702703	37	0.1	40
func_898f3a435b80	PL6.hmm	-	Control,Jelly	0.02702702702702703	37	0.025	40
func_89a4a0719b4e	CBM13.hmm	-	Control,Jelly	0.05405405405405406	37	0.05	40
func_8a78e41d06b0	GT30.hmm	-	Control,Jelly	0.7297297297297297	37	0.9	40
func_8ae9187fcafb	AA5.hmm	-	Control	0.02702702702702703	37	0	40
func_8ba17368546f	GH88.hmm	-	Control,Jelly	0.05405405405405406	37	0.025	40
func_8fee71148946	GH43_11.hmm	-	Control	0.02702702702702703	37	0	40
func_9099c55685bb	GT10.hmm	-	Control,Jelly	0.02702702702702703	37	0.025	40
func_9105650545b4	GH163.hmm	-	Jelly	0	37	0.025	40
func_92b3740cab29	CE6.hmm	-	Jelly	0	37	0.025	40
func_92ff1c13d501	CBM21.hmm	-		0	37	0	40
func_9310414b84aa	GH5_43.hmm	-	Control,Jelly	0.02702702702702703	37	0.025	40
func_93770876a2ba	PL8_2.hmm	-	Jelly	0	37	0.025	40
func_9575415eff7d	PL17_2.hmm	-	Control,Jelly	0.02702702702702703	37	0.125	40
func_958e5bc7402d	GH9.hmm	-	Control,Jelly	0.02702702702702703	37	0.1	40
func_969cbc812490	GT2_Glyco_trans_2_3.hmm	PF13632.5	Control,Jelly	0.05405405405405406	37	0.125	40
func_9a9d20aa0a7f	GH42.hmm	-	Control,Jelly	0.2702702702702703	37	0.125	40
func_9cf9c9357a57	AA12.hmm	-	Control,Jelly	0.08108108108108109	37	0.125	40
func_9d224943b748	GH15.hmm	-	Control,Jelly	0.08108108108108109	37	0.05	40
func_9e59891bd46f	PL24.hmm	-	Jelly	0	37	0.025	40
func_9ebebef795b8	GH5_28.hmm	-		0	37	0	40
func_a259609d138d	GH24.hmm	-	Control,Jelly	0.13513513513513514	37	0.15	40
func_a2aaa8984db1	GT26.hmm	-	Control,Jelly	0.05405405405405406	37	0.225	40
func_a3457db7f4bb	GH13_31.hmm	-	Control	0.10810810810810811	37	0	40
func_a541153c3220	GT105.hmm	-	Jelly	0	37	0.1	40
func_a541e1db798a	CE20.hmm	-	Control	0.10810810810810811	37	0	40
func_a568c20ec150	GT113.hmm	-	Jelly	0	37	0.025	40
func_a588adfc12fd	PL26.hmm	-	Control	0.02702702702702703	37	0	40
func_a5ac8246a829	CBM41.hmm	-	Jelly	0	37	0.025	40
func_a623a48b980a	CBM5.hmm	-	Control,Jelly	0.02702702702702703	37	0.075	40
func_a650ae9ecdf1	GH114.hmm	-	Control,Jelly	0.05405405405405406	37	0.05	40
func_a6d53c7a97ee	GH13_36.hmm	-	Control,Jelly	0.05405405405405406	37	0.025	40
func_ab3d26f430f3	GT2_Glyco_tranf_2_3.hmm	PF13641.5	Control,Jelly	0.32432432432432434	37	0.325	40
func_adca2248c92b	PL7_5.hmm	-	Jelly	0	37	0.175	40
func_b00f3898f260	AA6.hmm	-	Control,Jelly	0.24324324324324326	37	0.475	40
func_b185fd6586a8	GT51.hmm	-	Control,Jelly	0.9459459459459459	37	0.975	40
func_b3140711695b	GH51.hmm	-	Control,Jelly	0.02702702702702703	37	0.025	40
func_b3c5cd98dfdc	GH5_46.hmm	-		0	37	0	40
func_b550e56a2fd6	GH94.hmm	-	Control,Jelly	0.02702702702702703	37	0.175	40
func_b6485334a776	GT107.hmm	-	Control,Jelly	0.13513513513513514	37	0.2	40
func_b8102f131174	CBM91.hmm	-	Jelly	0	37	0.025	40
func_b9a08aa0fc4a	GH103.hmm	-	Control,Jelly	0.7027027027027027	37	0.65	40
func_ba24c44b1f8f	CE19.hmm	-	Control,Jelly	0.10810810810810811	37	0.025	40
func_ba5108d76647	AA4.hmm	-	Control,Jelly	0.6486486486486487	37	0.6	40
func_bb133bedd803	GH32.hmm	-	Control,Jelly	0.21621621621621623	37	0.1	40
func_bdcbc851ff11	GH8.hmm	-	Control,Jelly	0.02702702702702703	37	0.1	40
func_bdebddbfc4e1	GH74.hmm	-	Control,Jelly	0.2702702702702703	37	0.575	40
func_be544f28c0dc	CE9.hmm	-	Control,Jelly	0.6486486486486487	37	0.775	40
func_bfdb2d748817	CBM20.hmm	-	Jelly	0	37	0.05	40
func_bffcde374911	CBM69.hmm	-	Control,Jelly	0.05405405405405406	37	0.05	40
func_c1dfaca05338	CE4.hmm	-	Control,Jelly	0.40540540540540543	37	0.55	40
func_c208c43e5dea	PL1.hmm	-	Jelly	0	37	0.025	40
func_c25cedc0e7fe	GT83.hmm	-	Control,Jelly	0.4864864864864865	37	0.575	40
func_c272faca63bc	PL40.hmm	-	Jelly	0	37	0.025	40
func_c2d31260e78c	GH151.hmm	-	Jelly	0	37	0.025	40
func_c412603499c6	GH99.hmm	-	Control	0.02702702702702703	37	0	40
func_c52390c3fd49	GH136.hmm	-	Control,Jelly	0.02702702702702703	37	0.025	40
func_c56b5b557a8d	GH38.hmm	-	Jelly	0	37	0.025	40
func_c7f635479bd0	GT27.hmm	-	Control,Jelly	0.08108108108108109	37	0.15	40
func_c906320d8eb9	GH63.hmm	-	Control,Jelly	0.16216216216216217	37	0.25	40
func_caee2a5dc5cf	CBM85.hmm	-	Control	0.02702702702702703	37	0	40
func_cbc2043a7624	GH119.hmm	-	Jelly	0	37	0.05	40
func_ccb04fafb3eb	GH20.hmm	-	Control,Jelly	0.2702702702702703	37	0.35	40
func_cd3820c7eda5	GH102.hmm	-	Control,Jelly	0.13513513513513514	37	0.2	40
func_cdc6b5c9447f	GH30_1.hmm	-	Control,Jelly	0.05405405405405406	37	0.05	40
func_cde82b1e4e53	GH13_3.hmm	-	Control,Jelly	0.02702702702702703	37	0.05	40
func_cdec1e117bcf	PL22.hmm	-	Control,Jelly	0.6486486486486487	37	0.825	40
func_cfce15f33c32	GH13_9.hmm	-	Control,Jelly	0.08108108108108109	37	0.3	40
func_d0768cdc8387	GT35.hmm	-	Control,Jelly	0.08108108108108109	37	0.25	40
func_d26129220682	GT66.hmm	-	Control,Jelly	0.02702702702702703	37	0.025	40
func_d2967dbb9125	CE15.hmm	-	Control	0.05405405405405406	37	0	40
func_d29e1a1158b5	GH16_24.hmm	-	Jelly	0	37	0.025	40
func_d2e8a458dcac	GT14.hmm	-	Control,Jelly	0.13513513513513514	37	0.175	40
func_d3a1dfb3ac74	PL1_2.hmm	-	Control,Jelly	0.02702702702702703	37	0.025	40
func_d3d619ce6f0a	CBM9.hmm	-	Control,Jelly	0.13513513513513514	37	0.4	40
func_d74dc6b79bbc	PL15.hmm	-	Control	0.02702702702702703	37	0	40
